Country Name,Current health expenditure per capita (current US$),"Death rate, crude (per 1,000 people)",GDP per capita (constant 2015 US$),"Life expectancy at birth, total (years)","Literacy rate, adult total (% of people ages 15 and above)",Net migration,Poverty headcount ratio at national poverty line (% of population),"Unemployment, total (% of total labor force)",Population,Density (P/Km²),Confirmed,Deaths,Recovered,Active
Lesotho,130.44073486,13.014,1033.37116391748,54.173,,-2989,,16.876,2142249.0,71.0,266837.0,5916.0,135927.0,124994.0
Liberia,52.02645493,8.658,644.162065213927,61.104,,-19697,,3.072,5057681.0,53.0,272788.0,15928.0,204206.0,52654.0
Libya,,5.454,9821.66173227168,72.463,,-1352,,19.037,6871292.0,4.0,7537364.0,110796.0,4444049.0,2982519.0
Liechtenstein,,6.8,,84.1609756097561,,178,,,38128.0,238.0,104576.0,1186.0,83571.0,19819.0
Lithuania,1370,13.7,17256.4081521908,76.2829268292683,,-13398,20.9,6.255,2722289.0,43.0,4831371.0,53753.0,1981035.0,2788460.0
Luxembourg,6222,6.9,107350.626687276,82.6390243902439,,10365,17.4,5.595,625978.0,242.0,3403899.0,43147.0,2596674.0,777140.0
Macau,,3.983,76789.4065769928,84.978,,8578,,1.749,649335.0,21645.0,13297.0,0.0,11933.0,1318.0
Madagascar,15.88729572,6.518,478.926961352974,65.882,,-1487,,2.46,27691018.0,48.0,2679081.0,35710.0,2410816.0,232555.0
Malawi,41.78248596,6.611,573.400114038594,64.119,,-2228,50.7,4.949,19129952.0,203.0,965572.0,28619.0,705542.0,231411.0
Malaysia,427.46286011,5.253,11114.5605305734,75.76,,60824,8.4,3.26,32365999.0,99.0,6275810.0,48887.0,5024610.0,1202275.0
Maldives,852,2.858,10888.6445610502,80.116,,6690,5.4,4.562,540544.0,1802.0,1751805.0,6203.0,1473950.0,271652.0
Mali,32.17400742,9.205,779.326624981433,59.664,,-44428,42.3,2.414,20250833.0,17.0,731240.0,30881.0,512861.0,187498.0
Malta,2944,7.3,29021.3357939207,82.8585365853659,,11247,16.9,3.627,441543.0,1380.0,912737.0,11537.0,707020.0,194180.0
Marshall Islands,782.23565674,7.29,5061.10371299857,64.746,,-1901,7.2,,59190.0,329.0,208.0,0.0,136.0,60.0
Mauritania,60.7460022,7.003,1635.83999676974,65.687,,-3018,31.8,10.416,4649658.0,5.0,1483644.0,34443.0,1206761.0,242440.0
Mauritius,670.97399902,8.8,10956.9450226163,74.2358536585366,,-1034,,6.331,1271768.0,626.0,104590.0,2701.0,92724.0,9165.0
Mexico,552.70422363,6.931,10228.980944107,74.202,,-47764,,3.477,128932753.0,66.0,146981876.0,14802191.0,115957591.0,16222294.0
Moldova,284,13.089,3438.67732670712,70.935,,-28328,25.2,1.502,4033963.0,123.0,12152607.0,291748.0,9408890.0,2451969.0
Monaco,7730.60351563,,191194.562185505,,,416,,,39242.0,26337.0,67914.0,826.0,55418.0,11704.0
Mongolia,197.55195618,5.499,4385.11167680522,71.822,,10664,,9.269,3278290.0,2.0,91572.0,3.0,62567.0,29002.0
Montenegro,732,10.6,7684.18397197185,76.6829268292683,,-1636,22.6,15.128,628066.0,47.0,3008082.0,44928.0,2129719.0,833435.0
Morocco,177.24557495,5.658,3355.61328125,74.27,,-91959,,9.21,36910560.0,83.0,31458632.0,534346.0,26596297.0,4327989.0
Mozambique,40.41284943,8.04,608.96363276244,61.166,,-17639,,3.632,31255435.0,40.0,1613617.0,12282.0,1246600.0,354735.0
Burma,62,8.692,1430.13634322583,66.61,89.0699462890625,-100810,,0.407,54409800.0,83.0,6768784.0,148151.0,4929940.0,1690693.0
Namibia,432.14578247,8.248,4596.61957617524,63.075,,-8596,,19.945,2540905.0,3.0,1783501.0,17522.0,1409886.0,356093.0
Nauru,1158.77087402,6.48,7341.86820571878,63.484,,-107,,,10824.0,541.0,0.0,0.0,0.0,0.0
Nepal,53,6.871,1061.48627550472,69.558,,-70597,,10.578,29136808.0,203.0,21071636.0,127872.0,17482555.0,3461202.0
Netherlands,5341,8.8,48443.7320540283,82.1121951219512,,60266,13.4,3.38,17134872.0,508.0,51121584.0,1806831.0,709085.0,48605678.0
New Caledonia,,6,,80.4197073170732,,-2336,,10.881,285498.0,16.0,0.0,0.0,0.0,0.0
New Zealand,4085.78808594,6.87,40651.9744673101,82.0560975609756,,103392,,4.109,4822233.0,18.0,466027.0,5909.0,426133.0,33985.0
Nicaragua,161.98634338,4.626,1965.2754946487,74.054,,-19733,,5.47,6624554.0,55.0,933045.0,27820.0,646648.0,258577.0
Niger,31.21994209,7.824,520.934643318794,62.897,,-15787,,0.544,24206644.0,19.0,327790.0,17099.0,259534.0,51157.0
Nigeria,69.68148041,12.989,2505.46223905246,52.91,,-103989,,5.206,206139589.0,226.0,11063308.0,209468.0,8630985.0,2222855.0
North Macedonia,421,9.8,5961.58475399191,76.6024390243903,,-987,21.8,17.414,2083374.0,83.0,5773198.0,192163.0,3865777.0,1715258.0
Northern Mariana Islands,,4,20796.0304233721,,,-806,,,57559.0,125.0,0.0,0.0,0.0,0.0
